model,learning_rate,val_split,epochs,accuracy,TPR,TNR
simple_NN_rawdata_model_1,0.001,0.33,4,0.9433962264150944,0.8947368421052632,1.0
simple_NN_rawdata_model_3,0.001,0.33,8,0.9433962264150944,0.9122807017543859,0.9795918367346939
simple_NN_rawdata_model_2,0.0001,,8,0.9339622641509434,0.8947368421052632,0.9795918367346939
simple_NN_rawdata_model_1,0.0001,,20,0.9339622641509434,0.9473684210526315,0.9183673469387755
simple_NN_rawdata_model_3,0.001,,4,0.9339622641509434,0.8947368421052632,0.9795918367346939
simple_NN_rawdata_model_2,0.001,0.33,8,0.9245283018867925,0.8947368421052632,0.9591836734693877
simple_NN_rawdata_model_1,0.0001,0.33,10,0.9245283018867925,0.9122807017543859,0.9387755102040817
simple_NN_rawdata_model_2,0.0001,0.33,50,0.9056603773584906,0.8245614035087719,1.0
simple_NN_rawdata_model_1,1e-05,0.33,50,0.9056603773584906,0.8596491228070176,0.9591836734693877
simple_NN_rawdata_model_2,0.001,0.33,4,0.8962264150943396,0.9122807017543859,0.8775510204081632
simple_NN_rawdata_model_3,0.0001,,8,0.8679245283018868,0.7894736842105263,0.9591836734693877
simple_NN_rawdata_model_3,1e-06,0.33,20,0.8679245283018868,0.8947368421052632,0.8367346938775511
simple_NN_rawdata_model_3,0.0001,0.33,4,0.8679245283018868,0.9824561403508771,0.7346938775510204
simple_NN_rawdata_model_3,0.001,,8,0.8584905660377359,0.8947368421052632,0.8163265306122449
simple_NN_rawdata_model_2,0.0001,,50,0.8490566037735849,0.8245614035087719,0.8775510204081632
simple_NN_rawdata_model_2,0.001,0.33,5,0.839622641509434,0.7719298245614035,0.9183673469387755
simple_NN_rawdata_model_2,0.001,0.33,10,0.8301886792452831,0.8245614035087719,0.8367346938775511
simple_NN_rawdata_model_1,0.0001,,10,0.8301886792452831,0.9298245614035088,0.7142857142857143
simple_NN_rawdata_model_3,0.001,0.33,10,0.8207547169811321,1.0,0.6122448979591837
simple_NN_rawdata_model_2,0.001,0.33,3,0.8018867924528302,0.6491228070175439,0.9795918367346939
simple_NN_rawdata_model_1,0.001,0.33,3,0.8018867924528302,0.6666666666666666,0.9591836734693877
simple_NN_rawdata_model_2,0.0001,0.33,8,0.7735849056603774,0.9122807017543859,0.6122448979591837
simple_NN_rawdata_model_2,1e-05,,10,0.7641509433962265,0.8070175438596491,0.7142857142857143
simple_NN_rawdata_model_3,0.001,0.33,4,0.7641509433962265,0.8771929824561403,0.6326530612244898
simple_NN_rawdata_model_2,1e-05,,8,0.7547169811320755,0.5789473684210527,0.9591836734693877
simple_NN_rawdata_model_1,0.0001,,5,0.7358490566037735,0.6666666666666666,0.8163265306122449
simple_NN_rawdata_model_1,1e-05,,20,0.7075471698113207,0.5614035087719298,0.8775510204081632
simple_NN_rawdata_model_3,1e-06,,20,0.6981132075471698,0.7368421052631579,0.6530612244897959
simple_NN_rawdata_model_1,1e-06,,8,0.6981132075471698,0.6666666666666666,0.7346938775510204
simple_NN_rawdata_model_1,1e-05,,3,0.6792452830188679,0.9649122807017544,0.3469387755102041
simple_NN_rawdata_model_1,0.0001,,3,0.6792452830188679,0.6666666666666666,0.6938775510204082
simple_NN_rawdata_model_1,0.0001,,8,0.6698113207547169,0.7719298245614035,0.5510204081632653
simple_NN_rawdata_model_2,1e-05,0.33,4,0.6698113207547169,0.9824561403508771,0.30612244897959184
simple_NN_rawdata_model_3,1e-06,0.33,10,0.6509433962264151,0.5964912280701754,0.7142857142857143
simple_NN_rawdata_model_3,1e-05,0.33,20,0.6509433962264151,0.3684210526315789,0.9795918367346939
simple_NN_rawdata_model_1,0.0001,0.33,5,0.6509433962264151,0.8245614035087719,0.4489795918367347
simple_NN_rawdata_model_2,1e-06,0.33,10,0.6415094339622641,0.3684210526315789,0.9591836734693877
simple_NN_rawdata_model_3,0.0001,,20,0.6415094339622641,0.38596491228070173,0.9387755102040817
simple_NN_rawdata_model_1,1e-05,,8,0.6320754716981132,0.49122807017543857,0.7959183673469388
simple_NN_rawdata_model_2,1e-06,0.33,50,0.6320754716981132,0.3333333333333333,0.9795918367346939
simple_NN_rawdata_model_3,0.0001,,10,0.6226415094339622,0.9824561403508771,0.20408163265306123
