model,learning_rate,val_split,epochs,accuracy,TPR,TNR
cnn_model_succeeded_raw,0.001,0.33,3,0.7222222222222222,1.0,0.5
CNN_model_paper2_raw,0.0001,0.33,20,0.6666666666666666,1.0,0.4
CNN_model_paper2_raw,0.001,0.33,1,0.6666666666666666,1.0,0.4
simple_CNN_model_1_sigmoid_raw,1e-06,0.33,100,0.6666666666666666,0.375,0.9
cnn_model_succeeded_raw,1e-05,,3,0.6666666666666666,0.625,0.7
cnn_model_succeeded_raw,1e-05,0.33,100,0.6666666666666666,1.0,0.4
cnn_model_succeeded_raw,1e-05,,100,0.6666666666666666,0.75,0.6
CNN_model_paper2_raw,0.0001,0.33,10,0.6666666666666666,1.0,0.4
CNN_model_paper2_raw,1e-05,0.33,100,0.6666666666666666,0.25,1.0
CNN_model_paper2_raw,1e-06,,100,0.6666666666666666,1.0,0.4
cnn_model_succeeded_raw,1e-06,0.33,1,0.6666666666666666,0.75,0.6
cnn_model_succeeded_raw,1e-07,,3,0.6111111111111112,0.375,0.8
CNN_model_paper2_raw,1e-07,0.33,50,0.6111111111111112,1.0,0.3
simple_CNN_model_1_sigmoid_raw,0.0001,0.33,5,0.6111111111111112,0.125,1.0
CNN_model_paper2_raw,1e-05,,50,0.6111111111111112,0.125,1.0
cnn_model_succeeded_raw,0.0001,0.33,3,0.6111111111111112,0.375,0.8
cnn_model_succeeded_raw,1e-05,,50,0.6111111111111112,0.25,0.9
simple_CNN_model_1_sigmoid_raw,1e-07,0.33,100,0.6111111111111112,0.125,1.0
CNN_model_paper2_raw,1e-07,0.33,1,0.6111111111111112,0.5,0.7
simple_CNN_model_1_sigmoid_raw,1e-05,,10,0.6111111111111112,0.125,1.0
CNN_model_paper2_raw,0.0001,0.33,3,0.6111111111111112,0.125,1.0
CNN_model_paper2_raw,1e-05,,10,0.6111111111111112,1.0,0.3
CNN_model_paper2_raw,1e-06,0.33,20,0.5555555555555556,0.75,0.4
cnn_model_succeeded_raw,1e-05,0.33,50,0.5555555555555556,0.0,1.0
cnn_model_succeeded_raw,1e-07,,10,0.5555555555555556,0.875,0.3
cnn_model_succeeded_raw,1e-07,0.33,20,0.5555555555555556,0.0,1.0
cnn_model_succeeded_raw,0.0001,,10,0.5555555555555556,1.0,0.2
simple_CNN_model_1_sigmoid_raw,1e-07,0.33,10,0.5555555555555556,0.0,1.0
cnn_model_succeeded_raw,1e-05,,5,0.5555555555555556,0.25,0.8
CNN_model_paper2_raw,1e-07,0.33,10,0.5555555555555556,0.0,1.0
CNN_model_paper2_raw,1e-05,,20,0.5555555555555556,1.0,0.2
cnn_model_succeeded_raw,1e-06,0.33,5,0.5555555555555556,0.625,0.5
CNN_model_paper2_raw,1e-06,,20,0.5555555555555556,0.0,1.0
simple_CNN_model_1_sigmoid_raw,1e-06,,20,0.5555555555555556,0.0,1.0
cnn_model_succeeded_raw,1e-06,,20,0.5555555555555556,0.0,1.0
simple_CNN_model_1_sigmoid_raw,0.0001,0.33,10,0.5555555555555556,1.0,0.2
cnn_model_succeeded_raw,1e-07,,5,0.5555555555555556,0.0,1.0
cnn_model_succeeded_raw,1e-07,0.33,5,0.5555555555555556,1.0,0.2
cnn_model_succeeded_raw,1e-07,,100,0.5555555555555556,0.0,1.0
