model,learning_rate,val_split,epochs,accuracy,TPR,TNR
CNN_model_paper2,1e-07,0.33,50,0.515,0.4926829268292683,0.5384615384615384
cnn_model_succeeded,0.001,,1,0.515,0.5024390243902439,0.5282051282051282
CNN_model_paper2,1e-07,,10,0.515,0.4975609756097561,0.5333333333333333
CNN_model_paper,1e-06,,100,0.5125,1.0,0.0
CNN_model_paper,0.001,0.33,20,0.5125,1.0,0.0
simple_CNN_model_1,1e-07,,10,0.5125,1.0,0.0
CNN_model_paper_withDropout,0.001,0.33,20,0.5125,1.0,0.0
simple_CNN_model_1,1e-05,,100,0.5125,1.0,0.0
simple_CNN_model_1,0.001,0.33,20,0.5125,1.0,0.0
CNN_model_paper,0.0001,0.33,20,0.5125,1.0,0.0
CNN_model_paper_withDropout,1e-05,,100,0.5125,1.0,0.0
CNN_model_paper,1e-05,,100,0.5125,1.0,0.0
CNN_model_paper_withDropout,0.0001,0.33,20,0.5125,1.0,0.0
simple_CNN_model_1,0.0001,0.33,20,0.5125,1.0,0.0
simple_CNN_model_1,0.0001,,50,0.5125,1.0,0.0
simple_CNN_model_1_sigmoid,0.0001,0.33,20,0.5125,1.0,0.0
CNN_model_paper_withDropout,1e-07,,10,0.5125,1.0,0.0
CNN_model_paper,1e-05,0.33,20,0.5125,1.0,0.0
CNN_model_paper,0.0001,0.33,100,0.5125,1.0,0.0
CNN_model_paper_withDropout,1e-05,0.33,20,0.5125,1.0,0.0
simple_CNN_model_1,0.001,0.33,100,0.5125,1.0,0.0
CNN_model_paper_withDropout,0.001,0.33,100,0.5125,1.0,0.0
simple_CNN_model_1,1e-05,0.33,20,0.5125,1.0,0.0
simple_CNN_model_1,0.0001,,100,0.5125,1.0,0.0
CNN_model_paper,0.001,0.33,100,0.5125,1.0,0.0
CNN_model_paper,1e-06,0.33,20,0.5125,1.0,0.0
CNN_model_paper2,1e-06,0.33,20,0.5125,0.5609756097560976,0.46153846153846156
CNN_model_paper_withDropout,1e-06,0.33,20,0.5125,1.0,0.0
simple_CNN_model_1,1e-06,0.33,20,0.5125,1.0,0.0
cnn_model_succeeded,0.0001,0.33,20,0.5125,1.0,0.0
simple_CNN_model_1,1e-06,,10,0.5125,1.0,0.0
CNN_model_paper,1e-07,,10,0.5125,1.0,0.0
CNN_model_paper,1e-07,0.33,20,0.5125,1.0,0.0
CNN_model_paper,1e-06,0.33,10,0.5125,1.0,0.0
simple_CNN_model_1,1e-07,,100,0.5125,1.0,0.0
CNN_model_paper_withDropout,1e-06,0.33,10,0.5125,1.0,0.0
simple_CNN_model_1,1e-06,0.33,10,0.5125,1.0,0.0
CNN_model_paper_withDropout,1e-05,0.33,100,0.5125,1.0,0.0
CNN_model_paper_withDropout,1e-07,,100,0.5125,1.0,0.0
CNN_model_paper,1e-07,0.33,10,0.5125,1.0,0.0
CNN_model_paper_withDropout,1e-07,0.33,10,0.5125,1.0,0.0
simple_CNN_model_1,1e-07,0.33,10,0.5125,1.0,0.0
CNN_model_paper,1e-07,,100,0.5125,1.0,0.0
simple_CNN_model_1,1e-06,,100,0.5125,1.0,0.0
CNN_model_paper_withDropout,0.001,,10,0.5125,1.0,0.0
simple_CNN_model_1,0.001,,10,0.5125,1.0,0.0
CNN_model_paper,1e-05,0.33,100,0.5125,1.0,0.0
CNN_model_paper,0.0001,,10,0.5125,1.0,0.0
CNN_model_paper_withDropout,0.0001,,10,0.5125,1.0,0.0
simple_CNN_model_1,0.0001,,10,0.5125,1.0,0.0
CNN_model_paper,1e-05,,10,0.5125,1.0,0.0
CNN_model_paper_withDropout,1e-05,,10,0.5125,1.0,0.0
simple_CNN_model_1,1e-05,,10,0.5125,1.0,0.0
CNN_model_paper,1e-06,,10,0.5125,1.0,0.0
simple_CNN_model_1,0.0001,0.33,100,0.5125,1.0,0.0
CNN_model_paper_withDropout,1e-06,,100,0.5125,1.0,0.0
CNN_model_paper_withDropout,0.0001,0.33,100,0.5125,1.0,0.0
CNN_model_paper_withDropout,1e-06,,10,0.5125,1.0,0.0
CNN_model_paper_withDropout,0.0001,,100,0.5125,1.0,0.0
CNN_model_paper2,1e-07,0.33,20,0.5125,1.0,0.0
CNN_model_paper_withDropout,1e-06,0.33,100,0.5125,1.0,0.0
CNN_model_paper,1e-07,,20,0.5125,1.0,0.0
simple_CNN_model_1,1e-05,0.33,10,0.5125,1.0,0.0
simple_CNN_model_1,1e-07,,20,0.5125,1.0,0.0
CNN_model_paper,0.001,0.33,50,0.5125,1.0,0.0
simple_CNN_model_1,1e-05,,50,0.5125,1.0,0.0
CNN_model_paper_withDropout,0.001,0.33,50,0.5125,1.0,0.0
simple_CNN_model_1,0.001,0.33,50,0.5125,1.0,0.0
CNN_model_paper_withDropout,1e-05,,50,0.5125,1.0,0.0
CNN_model_paper,0.0001,0.33,50,0.5125,1.0,0.0
CNN_model_paper_withDropout,0.0001,0.33,50,0.5125,1.0,0.0
simple_CNN_model_1,0.0001,0.33,50,0.5125,1.0,0.0
CNN_model_paper,1e-05,0.33,50,0.5125,1.0,0.0
CNN_model_paper_withDropout,1e-05,0.33,50,0.5125,1.0,0.0
simple_CNN_model_1,1e-05,0.33,50,0.5125,1.0,0.0
CNN_model_paper,1e-05,,50,0.5125,1.0,0.0
CNN_model_paper,1e-06,0.33,50,0.5125,1.0,0.0
CNN_model_paper_withDropout,1e-06,0.33,50,0.5125,1.0,0.0
simple_CNN_model_1,1e-06,0.33,50,0.5125,1.0,0.0
cnn_model_succeeded,1e-06,0.33,50,0.5125,0.5902439024390244,0.4307692307692308
CNN_model_paper,1e-07,0.33,50,0.5125,1.0,0.0
CNN_model_paper_withDropout,1e-07,0.33,50,0.5125,1.0,0.0
simple_CNN_model_1,1e-07,0.33,50,0.5125,1.0,0.0
simple_CNN_model_1,1e-06,0.33,100,0.5125,1.0,0.0
CNN_model_paper,0.001,,50,0.5125,1.0,0.0
CNN_model_paper_withDropout,0.001,,50,0.5125,1.0,0.0
simple_CNN_model_1,0.001,,50,0.5125,1.0,0.0
CNN_model_paper,0.0001,,50,0.5125,1.0,0.0
simple_CNN_model_1_sigmoid,0.0001,,50,0.5125,1.0,0.0
CNN_model_paper_withDropout,1e-07,,20,0.5125,1.0,0.0
CNN_model_paper,1e-07,0.33,100,0.5125,1.0,0.0
CNN_model_paper_withDropout,0.0001,,50,0.5125,1.0,0.0
CNN_model_paper,1e-06,,50,0.5125,1.0,0.0
CNN_model_paper_withDropout,1e-07,0.33,20,0.5125,1.0,0.0
simple_CNN_model_1,1e-07,0.33,20,0.5125,1.0,0.0
simple_CNN_model_1,1e-07,,50,0.5125,1.0,0.0
CNN_model_paper,0.001,,20,0.5125,1.0,0.0
CNN_model_paper,0.0001,,100,0.5125,1.0,0.0
CNN_model_paper_withDropout,0.001,,20,0.5125,1.0,0.0
simple_CNN_model_1,0.001,,20,0.5125,1.0,0.0
CNN_model_paper,0.0001,,20,0.5125,1.0,0.0
