model,learning_rate,val_split,epochs,accuracy,TPR,TNR
simple_NN_PL_model_2,0.001,,5,0.5125,0.030303030303030304,0.9851485148514851
simple_NN_PL_model_3,1e-06,,3,0.5125,0.5858585858585859,0.4405940594059406
simple_NN_PL_model_3,0.001,0.33,50,0.5125,0.6060606060606061,0.4207920792079208
simple_NN_PL_model_2,0.01,,5,0.5125,0.030303030303030304,0.9851485148514851
simple_NN_PL_model_1,0.01,,3,0.51,0.015151515151515152,0.995049504950495
simple_NN_PL_model_1,0.001,0.33,5,0.51,0.030303030303030304,0.9801980198019802
simple_NN_PL_model_3,1e-05,,50,0.51,0.3888888888888889,0.6287128712871287
simple_NN_PL_model_1,0.001,0.33,10,0.51,0.5606060606060606,0.4603960396039604
simple_NN_PL_model_1,0.001,0.33,50,0.51,0.7070707070707071,0.31683168316831684
simple_NN_PL_model_3,1e-05,,5,0.51,0.4494949494949495,0.5693069306930693
simple_NN_PL_model_1,1e-05,0.33,50,0.51,0.5252525252525253,0.49504950495049505
simple_NN_PL_model_2,0.001,0.33,20,0.51,0.2474747474747475,0.7673267326732673
simple_NN_PL_model_1,0.001,0.33,8,0.51,0.015151515151515152,0.995049504950495
simple_NN_PL_model_3,0.0001,,50,0.51,0.3787878787878788,0.6386138613861386
simple_NN_PL_model_2,0.01,,8,0.51,0.08080808080808081,0.9306930693069307
simple_NN_PL_model_3,0.01,,5,0.51,0.05555555555555555,0.9554455445544554
simple_NN_PL_model_3,0.01,0.33,8,0.5075,0.7272727272727273,0.29207920792079206
simple_NN_PL_model_2,0.0001,,8,0.5075,0.5707070707070707,0.44554455445544555
simple_NN_PL_model_3,1e-05,,20,0.5075,0.5454545454545454,0.47029702970297027
simple_NN_PL_model_1,1e-05,0.33,5,0.5075,0.47474747474747475,0.5396039603960396
simple_NN_PL_model_1,0.01,,50,0.5075,0.010101010101010102,0.995049504950495
simple_NN_PL_model_2,0.001,,20,0.5075,0.47474747474747475,0.5396039603960396
simple_NN_PL_model_3,1e-06,0.33,8,0.5075,0.3686868686868687,0.6435643564356436
simple_NN_PL_model_1,0.01,0.33,20,0.5075,0.8484848484848485,0.17326732673267325
simple_NN_PL_model_3,0.001,0.33,8,0.5075,0.5909090909090909,0.42574257425742573
simple_NN_PL_model_3,0.001,,3,0.5075,0.6262626262626263,0.3910891089108911
simple_NN_PL_model_1,1e-05,,10,0.505,0.40404040404040403,0.6039603960396039
simple_NN_PL_model_1,0.001,,20,0.505,0.0,1.0
simple_NN_PL_model_3,0.01,,20,0.505,0.0,1.0
simple_NN_PL_model_1,0.01,,10,0.505,0.0,1.0
simple_NN_PL_model_2,0.0001,0.33,20,0.505,0.5757575757575758,0.43564356435643564
simple_NN_PL_model_1,0.01,,20,0.505,0.0,1.0
simple_NN_PL_model_2,1e-06,0.33,10,0.505,0.0,1.0
simple_NN_PL_model_2,1e-05,0.33,20,0.505,0.41919191919191917,0.5891089108910891
simple_NN_PL_model_2,0.01,0.33,50,0.505,0.0,1.0
simple_NN_PL_model_1,0.01,0.33,3,0.505,0.0,1.0
simple_NN_PL_model_3,1e-06,,50,0.505,0.4595959595959596,0.5495049504950495
simple_NN_PL_model_1,0.01,0.33,5,0.505,0.0,1.0
simple_NN_PL_model_1,0.01,,8,0.505,0.0,1.0
simple_NN_PL_model_3,1e-06,,5,0.505,0.5353535353535354,0.4752475247524752
simple_NN_PL_model_1,1e-05,,8,0.505,0.25757575757575757,0.7475247524752475
simple_NN_PL_model_1,1e-06,0.33,5,0.505,0.0,1.0
simple_NN_PL_model_2,1e-06,0.33,8,0.505,0.5505050505050505,0.4603960396039604
