model,learning_rate,val_split,epochs,accuracy,TPR,TNR
simple_NN_PL_model_2,1e-06,0.33,5,0.51,0.8064516129032258,0.2523364485981308
simple_NN_PL_model_1,1e-05,0.33,3,0.51,0.43548387096774194,0.5747663551401869
simple_NN_PL_model_2,0.001,,20,0.51,0.12365591397849462,0.8457943925233645
simple_NN_PL_model_3,0.001,,20,0.51,0.25268817204301075,0.7336448598130841
simple_NN_PL_model_2,0.0001,,50,0.51,0.34408602150537637,0.6542056074766355
simple_NN_PL_model_1,1e-05,0.33,20,0.51,0.15591397849462366,0.8177570093457944
simple_NN_PL_model_2,0.01,,8,0.5075,0.6666666666666666,0.3691588785046729
simple_NN_PL_model_1,1e-06,,50,0.5075,0.5591397849462365,0.46261682242990654
simple_NN_PL_model_3,1e-06,0.33,50,0.5075,0.5483870967741935,0.4719626168224299
simple_NN_PL_model_2,1e-05,0.33,10,0.505,0.543010752688172,0.4719626168224299
simple_NN_PL_model_3,0.01,0.33,3,0.505,0.6182795698924731,0.40654205607476634
simple_NN_PL_model_1,1e-06,,8,0.505,0.42473118279569894,0.5747663551401869
simple_NN_PL_model_1,0.0001,,20,0.505,0.45161290322580644,0.5514018691588785
simple_NN_PL_model_1,0.01,0.33,50,0.5025,0.34946236559139787,0.6355140186915887
simple_NN_PL_model_2,1e-05,0.33,3,0.5025,0.5806451612903226,0.43457943925233644
simple_NN_PL_model_3,0.0001,,8,0.5025,0.46774193548387094,0.5327102803738317
simple_NN_PL_model_1,0.0001,0.33,5,0.5025,0.46774193548387094,0.5327102803738317
simple_NN_PL_model_1,0.0001,0.33,10,0.5025,0.5268817204301075,0.48130841121495327
simple_NN_PL_model_1,1e-06,0.33,10,0.5025,0.6129032258064516,0.40654205607476634
simple_NN_PL_model_2,1e-06,,50,0.5025,0.6881720430107527,0.3411214953271028
simple_NN_PL_model_2,0.0001,,5,0.5025,0.34408602150537637,0.6401869158878505
simple_NN_PL_model_2,0.0001,,8,0.5,0.3978494623655914,0.5887850467289719
simple_NN_PL_model_2,0.001,0.33,20,0.5,0.3279569892473118,0.6495327102803738
simple_NN_PL_model_2,0.01,0.33,50,0.5,0.521505376344086,0.48130841121495327
simple_NN_PL_model_1,0.0001,,5,0.5,0.5268817204301075,0.4766355140186916
simple_NN_PL_model_1,0.001,0.33,50,0.5,0.5645161290322581,0.4439252336448598
simple_NN_PL_model_3,0.0001,0.33,3,0.5,0.6182795698924731,0.397196261682243
simple_NN_PL_model_1,1e-05,,50,0.5,0.5806451612903226,0.42990654205607476
simple_NN_PL_model_2,1e-05,,10,0.4975,0.478494623655914,0.514018691588785
simple_NN_PL_model_1,1e-05,,20,0.4975,0.46236559139784944,0.5280373831775701
