model,learning_rate,val_split,epochs,accuracy,TPR,TNR
CNN_model_paper2,1e-05,0.33,1,0.53,0.06806282722513089,0.9521531100478469
simple_CNN_model_1_sigmoid,1e-07,,50,0.5275,0.5549738219895288,0.5023923444976076
simple_CNN_model_1_sigmoid,1e-05,,10,0.5275,0.015706806282722512,0.9952153110047847
simple_CNN_model_1_sigmoid,1e-05,,20,0.5275,0.020942408376963352,0.9904306220095693
simple_CNN_model_1_sigmoid,1e-06,,100,0.5275,0.20418848167539266,0.8229665071770335
CNN_model_paper2,0.001,,10,0.5275,0.47643979057591623,0.5741626794258373
CNN_model_paper2,1e-06,,50,0.525,0.49214659685863876,0.5550239234449761
simple_CNN_model_1_sigmoid,1e-05,0.33,5,0.525,0.015706806282722512,0.9904306220095693
CNN_model_paper2,1e-07,,5,0.525,0.05235602094240838,0.9569377990430622
CNN_model_paper2,1e-05,,20,0.525,0.28272251308900526,0.7464114832535885
cnn_model_succeeded,1e-05,,20,0.525,0.09947643979057591,0.9138755980861244
CNN_model_paper2,0.0001,0.33,20,0.525,0.005235602094240838,1.0
cnn_model_succeeded,0.0001,,10,0.525,0.005235602094240838,1.0
cnn_model_succeeded,0.0001,,100,0.525,0.010471204188481676,0.9952153110047847
CNN_model_paper2,1e-07,0.33,10,0.5225,0.0,1.0
simple_CNN_model_1_sigmoid,0.001,,20,0.5225,0.0,1.0
simple_CNN_model_1_sigmoid,1e-07,0.33,3,0.5225,0.0,1.0
CNN_model_paper2,1e-07,,10,0.5225,0.0,1.0
CNN_model_paper2,1e-05,,3,0.5225,0.5078534031413613,0.5358851674641149
cnn_model_succeeded,1e-05,,3,0.5225,0.27225130890052357,0.7511961722488039
cnn_model_succeeded,0.0001,,50,0.5225,0.0,1.0
simple_CNN_model_1_sigmoid,0.0001,,50,0.5225,0.0,1.0
cnn_model_succeeded,1e-07,,3,0.5225,0.0,1.0
cnn_model_succeeded,0.001,,50,0.5225,0.0,1.0
simple_CNN_model_1_sigmoid,0.0001,0.33,20,0.5225,0.0,1.0
